epoch,step,test_AUC,test_accuracy,test_f1,test_loss,test_ppv,test_sensitivity,test_specificity,train_AUC,train_accuracy,train_f1,train_loss,train_ppv,train_sensitivity,train_specificity,valid_AUC,valid_accuracy,valid_f1,valid_loss,valid_ppv,valid_sensitivity,valid_specificity
0,24,,,,,,,,,,,,,,,0.6012270450592041,0.8249362111091614,0.3263803720474243,0.3715103268623352,0.39002931118011475,0.2805907130241394,0.9218632578849792
0,24,,,,,,,,0.7306892275810242,0.7306249737739563,0.726696252822876,0.6015100479125977,0.7403100728988647,0.7135741114616394,0.7478042840957642,,,,,,,
1,49,,,,,,,,,,,,,,,0.7042284607887268,0.8364158272743225,0.4875124990940094,0.36637017130851746,0.46299809217453003,0.5147679448127747,0.893688976764679
1,49,,,,,,,,0.8475232124328613,0.8475000262260437,0.8447837233543396,0.33491775393486023,0.8612191677093506,0.8289638161659241,0.8660826086997986,,,,,,,
2,74,,,,,,,,,,,,,,,0.5,0.8488520383834839,0.0,0.5392751097679138,0.0,0.0,1.0
2,74,,,,,,,,0.8868727684020996,0.8868749737739563,0.8872274160385132,0.261604368686676,0.8866749405860901,0.8877805471420288,0.8859649300575256,,,,,,,
3,99,,,,,,,,,,,,,,,0.8131294846534729,0.8019770383834839,0.558635413646698,0.4537736177444458,0.42122185230255127,0.8291139006614685,0.7971450090408325
3,99,,,,,,,,0.8789003491401672,0.8787500262260437,0.8779874444007874,0.2705268859863281,0.8925831317901611,0.8638613820075989,0.8939393758773804,,,,,,,
4,124,,,,,,,,,,,,,,,0.6091007590293884,0.8456632494926453,0.34594595432281494,0.3707581162452698,0.48120301961898804,0.27004218101501465,0.9481592774391174
4,124,,,,,,,,0.8873029351234436,0.887499988079071,0.8843187689781189,0.25784066319465637,0.8993464112281799,0.8697850704193115,0.9048207402229309,,,,,,,
5,149,,,,,,,,,,,,,,,0.6676961183547974,0.8568239808082581,0.45575758814811707,0.3620011508464813,0.5356125235557556,0.39662447571754456,0.9387678503990173
5,149,,,,,,,,0.905579149723053,0.9056249856948853,0.9041270017623901,0.21069873869419098,0.9151670932769775,0.8933500647544861,0.9178082346916199,,,,,,,
6,174,,,,,,,,,,,,,,,0.5676413178443909,0.8606505393981934,0.24263431131839752,0.3700050711631775,0.6796116232872009,0.14767932891845703,0.9876033067703247
6,174,,,,,,,,0.9311933517456055,0.9312499761581421,0.9294871687889099,0.18247933685779572,0.9514435529708862,0.908521294593811,0.9538653492927551,,,,,,,
